STN , SLAT , SLON
0411 , 40 , -124
0412 , 42 , -124
0413 , 44 , -124
0414 , 46 , -124
0415 , 48 , -124
0509 , 36 , -122
0510 , 38 , -122
0511 , 40 , -122
0512 , 42 , -122
0513 , 44 , -122
0514 , 46 , -122
0515 , 48 , -122
0608 , 34 , -120
0609 , 36 , -120
0610 , 38 , -120
0611 , 40 , -120
0612 , 42 , -120
0613 , 44 , -120
0614 , 46 , -120
0615 , 48 , -120
0708 , 34 , -118
0709 , 36 , -118
0710 , 38 , -118
0711 , 40 , -118
0712 , 42 , -118
0713 , 44 , -118
0714 , 46 , -118
0715 , 48 , -118
0808 , 34 , -116
0809 , 36 , -116
0810 , 38 , -116
0811 , 40 , -116
0812 , 42 , -116
0813 , 44 , -116
0814 , 46 , -116
0815 , 48 , -116
0907 , 32 , -114
0908 , 34 , -114
0909 , 36 , -114
0910 , 38 , -114
0911 , 40 , -114
0912 , 42 , -114
0913 , 44 , -114
0914 , 46 , -114
0915 , 48 , -114
1007 , 32 , -112
1008 , 34 , -112
1009 , 36 , -112
1010 , 38 , -112
1011 , 40 , -112
1012 , 42 , -112
1013 , 44 , -112
1014 , 46 , -112
1015 , 48 , -112
1107 , 32 , -110
1108 , 34 , -110
1109 , 36 , -110
1110 , 38 , -110
1111 , 40 , -110
1112 , 42 , -110
1113 , 44 , -110
1114 , 46 , -110
1115 , 48 , -110
1207 , 32 , -108
1208 , 34 , -108
1209 , 36 , -108
1210 , 38 , -108
1211 , 40 , -108
1212 , 42 , -108
1213 , 44 , -108
1214 , 46 , -108
1215 , 48 , -108
1307 , 32 , -106
1308 , 34 , -106
1309 , 36 , -106
1310 , 38 , -106
1311 , 40 , -106
1312 , 42 , -106
1313 , 44 , -106
1314 , 46 , -106
1315 , 48 , -106
1406 , 30 , -104
1407 , 32 , -104
1408 , 34 , -104
1409 , 36 , -104
1410 , 38 , -104
1411 , 40 , -104
1412 , 42 , -104
1413 , 44 , -104
1414 , 46 , -104
1415 , 48 , -104
1506 , 30 , -102
1507 , 32 , -102
1508 , 34 , -102
1509 , 36 , -102
1510 , 38 , -102
1511 , 40 , -102
1512 , 42 , -102
1513 , 44 , -102
1514 , 46 , -102
1515 , 48 , -102
1605 , 28 , -100
1606 , 30 , -100
1607 , 32 , -100
1608 , 34 , -100
1609 , 36 , -100
1610 , 38 , -100
1611 , 40 , -100
1612 , 42 , -100
1613 , 44 , -100
1614 , 46 , -100
1615 , 48 , -100
1704 , 26 , -98
1705 , 28 , -98
1706 , 30 , -98
1707 , 32 , -98
1708 , 34 , -98
1709 , 36 , -98
1710 , 38 , -98
1711 , 40 , -98
1712 , 42 , -98
1713 , 44 , -98
1714 , 46 , -98
1715 , 48 , -98
1805 , 28 , -96
1806 , 30 , -96
1807 , 32 , -96
1808 , 34 , -96
1809 , 36 , -96
1810 , 38 , -96
1811 , 40 , -96
1812 , 42 , -96
1813 , 44 , -96
1814 , 46 , -96
1815 , 48 , -96
1906 , 30 , -94
1907 , 32 , -94
1908 , 34 , -94
1909 , 36 , -94
1910 , 38 , -94
1911 , 40 , -94
1912 , 42 , -94
1913 , 44 , -94
1914 , 46 , -94
1915 , 48 , -94
2006 , 30 , -92
2007 , 32 , -92
2008 , 34 , -92
2009 , 36 , -92
2010 , 38 , -92
2011 , 40 , -92
2012 , 42 , -92
2013 , 44 , -92
2014 , 46 , -92
2015 , 48 , -92
2106 , 30 , -90
2107 , 32 , -90
2108 , 34 , -90
2109 , 36 , -90
2110 , 38 , -90
2111 , 40 , -90
2112 , 42 , -90
2113 , 44 , -90
2114 , 46 , -90
2115 , 48 , -90
2206 , 30 , -88
2207 , 32 , -88
2208 , 34 , -88
2209 , 36 , -88
2210 , 38 , -88
2211 , 40 , -88
2212 , 42 , -88
2213 , 44 , -88
2214 , 46 , -88
2215 , 48 , -88
2306 , 30 , -86
2307 , 32 , -86
2308 , 34 , -86
2309 , 36 , -86
2310 , 38 , -86
2311 , 40 , -86
2312 , 42 , -86
2313 , 44 , -86
2314 , 46 , -86
2315 , 48 , -86
2406 , 30 , -84
2407 , 32 , -84
2408 , 34 , -84
2409 , 36 , -84
2410 , 38 , -84
2411 , 40 , -84
2412 , 42 , -84
2413 , 44 , -84
2414 , 46 , -84
2504 , 26 , -82
2505 , 28 , -82
2506 , 30 , -82
2507 , 32 , -82
2508 , 34 , -82
2509 , 36 , -82
2510 , 38 , -82
2511 , 40 , -82
2512 , 42 , -82
2513 , 44 , -82
2604 , 26 , -80
2605 , 28 , -80
2608 , 34 , -80
2609 , 36 , -80
2610 , 38 , -80
2611 , 40 , -80
2612 , 42 , -80
2708 , 34 , -78
2709 , 36 , -78
2710 , 38 , -78
2711 , 40 , -78
2712 , 42 , -78
2713 , 44 , -78
2809 , 36 , -76
2810 , 38 , -76
2811 , 40 , -76
2812 , 42 , -76
2813 , 44 , -76
2911 , 40 , -74
2912 , 42 , -74
2913 , 44 , -74
3012 , 42 , -72
3013 , 44 , -72
3112 , 42 , -70
3113 , 44 , -70
3114 , 46 , -70
3213 , 44 , -68
3214 , 46 , -68
