id	name	state	climateRegion	climateDivision	country	lat	lon
72202	MIAMI	FL	SE	68	US	25.8	-80.28
72205	ORLANDO	FL	SE	67	US	28.43	-81.32
72206	JACKSONVILLE	FL	SE	66	US	30.5	-81.69
72208	CHARLESTON	SC	SE	12	US	32.9	-80.03
72211	TAMPA	FL	SE	67	US	27.97	-82.53
72214	TALLAHASSEE	FL	SE	69	US	30.38	-84.37
72218	AUGUSTA	GA	SE	56	US	33.37	-81.97
72219	ATLANTA	GA	SE	56	US	33.65	-84.43
72223	MOBILE	AL	SE	69	US	30.68	-88.25
72228	BIRMINGHAM	AL	SE	57	US	33.57	-86.75
72231	NEW ORLEANS/MOISANT	LA	S	70	US	29.98	-90.25
72235	JACKSON	MS	S	58	US	32.32	-90.08
72243	HOUSTON	TX	S	71	US	29.97	-95.35
72248	SHREVEPORT	LA	S	59	US	32.47	-93.82
72250	BROWNSVILLE	TX	S	63	US	25.9	-97.43
72253	SAN ANTONIO	TX	S	62	US	29.53	-98.47
72259	DALLAS-FORT WORTH	TX	S	61	US	32.9	-97.03
72265	MIDLAND	TX	S	55	US	31.95	-102.18
72266	ABILENE	TX	S	54	US	32.41	-99.68
72268	ROSWELL	NM	W	100	US	33.3	-104.53
72270	EL PASO	TX	S	65	US	31.8	-106.4
72274	TUCSON	AZ	W	98	US	32.12	-110.93
72278	PHOENIX	AZ	W	96	US	33.43	-112.02
72280	YUMA	AZ	W	96	US	32.66	-114.6
72290	SAN DIEGO/LINDBERGH	CA	W	93	US	32.73	-117.17
72295	LOS ANGELES	CA	W	93	US	33.93	-118.4
72304	HATTERAS	NC	SE	10	US	35.27	-75.55
72306	RALEIGH-DURHAM	NC	SE	13	US	35.87	-78.78
72308	NORFOLK	VA	SE	10	US	36.9	-76.19
72314	CHARLOTTE	NC	SE	13	US	35.22	-80.93
72326	KNOXVILLE	TN	S	11	US	35.82	-83.98
72327	NASHVILLE	TN	S	50	US	36.13	-86.68
72334	MEMPHIS	TN	S	51	US	35.05	-90
72340	LITTLE ROCK	AR	S	59	US	34.83	-92.27
72344	FORT SMITH	AR	S	52	US	35.33	-94.37
72353	OKLAHOMA CITY	OK	S	53	US	35.4	-97.6
72363	AMARILLO	TX	S	55	US	35.23	-101.7
72365	ALBUQUERQUE	NM	W	101	US	35.05	-106.62
72374	WINSLOW	AZ	W	97	US	35.02	-110.72
72384	BAKERSFIELD	CA	W	91	US	35.43	-119.05
72386	LAS VEGAS	NV	W	95	US	36.08	-115.17
72389	FRESNO	CA	W	91	US	36.77	-119.72
72394	SANTA MARIA	CA	W	93	US	34.9	-120.45
72401	RICHMOND/BYRD	VA	SE	10	US	37.5	-77.32
72405	WASHINGTON/NATIONAL	DC	NE	7	US	38.84	-77.03
72408	PHILADELPHIA	PA	NE	7	US	39.88	-75.25
72411	ROANOKE	VA	SE	9	US	37.32	-79.98
72414	CHARLESTON	WV	NE	9	US	38.37	-81.6
72421	CINCINNATI	OH	MW	38	US	39.05	-84.67
72423	LOUISVILLE/STANDIFORD	KY	MW	39	US	38.18	-85.73
72428	COLUMBUS	OH	MW	6	US	40	-82.88
72432	EVANSVILLE	IN	MW	39	US	38.05	-87.53
72434	ST. LOUIS	MO	MW	41	US	38.75	-90.37
72438	INDIANAPOLIS	IN	MW	24	US	39.73	-86.28
72440	SPRINGFIELD	MO	MW	52	US	37.23	-93.38
72446	KANSAS CITY/INTL.	MO	MW	42	US	39.32	-94.72
72450	WICHITA	KS	HP	44	US	37.65	-97.43
72451	DODGE CITY	KS	HP	45	US	37.77	-99.97
72458	CONCORDIA	KS	HP	44	US	39.55	-97.65
72464	PUEBLO	CO	HP	47	US	38.28	-104.52
72476	GRAND JUNCTION	CO	HP	48	US	39.12	-108.52
72483	SACRAMENTO	CA	W	88	US	38.52	-121.5
72486	ELY	NV	W	86	US	39.28	-114.85
72488	RENO	NV	W	87	US	39.5	-119.77
72494	SAN FRANCISCO	CA	W	92	US	37.62	-122.38
72503	NEW YORK/LA GUARDIA	NY	NE	4	US	40.77	-73.9
72508	HARTFORD	CT	NE	4	US	41.93	-72.68
72509	BOSTON/LOGAN	MA	NE	4	US	42.37	-71.03
